         495801 function calls (487175 primitive calls) in 0.579 seconds

   Ordered by: cumulative time
   List reduced from 788 to 80 due to restriction <80>

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      170    0.000    0.000    0.018    0.000 /opt/anaconda3/envs/agentmesh/lib/python3.12/site-packages/pandas/core/arraylike.py:196(__rsub__)
      630    0.006    0.000    0.018    0.000 /opt/anaconda3/envs/agentmesh/lib/python3.12/site-packages/pandas/core/frame.py:4614(_get_item_cache)
      130    0.001    0.000    0.018    0.000 /opt/anaconda3/envs/agentmesh/lib/python3.12/site-packages/pandas/core/indexing.py:2632(check_bool_indexer)
       10    0.000    0.000    0.016    0.002 /Users/karekin/Downloads/coding/project/vnpy/vnpy/web/core/cb_backtest/candidate_selection.py:71(_score_abs_lower_better)
       10    0.000    0.000    0.015    0.002 /Users/karekin/Downloads/coding/project/vnpy/vnpy/web/core/cb_backtest/candidate_selection.py:45(build_tradeable_mask)
     1330    0.006    0.000    0.015    0.000 /opt/anaconda3/envs/agentmesh/lib/python3.12/site-packages/pandas/core/construction.py:517(sanitize_array)
     6036    0.006    0.000    0.015    0.000 /opt/anaconda3/envs/agentmesh/lib/python3.12/site-packages/pandas/core/generic.py:6298(__setattr__)
      710    0.002    0.000    0.014    0.000 /opt/anaconda3/envs/agentmesh/lib/python3.12/site-packages/pandas/core/ops/array_ops.py:240(arithmetic_op)
       90    0.000    0.000    0.014    0.000 /opt/anaconda3/envs/agentmesh/lib/python3.12/site-packages/pandas/core/arraylike.py:192(__sub__)
      940    0.001    0.000    0.014    0.000 /opt/anaconda3/envs/agentmesh/lib/python3.12/site-packages/pandas/core/ops/array_ops.py:189(_na_arithmetic_op)
     1300    0.003    0.000    0.014    0.000 /opt/anaconda3/envs/agentmesh/lib/python3.12/site-packages/pandas/core/internals/managers.py:1861(from_array)
      120    0.000    0.000    0.014    0.000 /opt/anaconda3/envs/agentmesh/lib/python3.12/site-packages/pandas/core/arraylike.py:200(__mul__)
