         4224973 function calls (4154981 primitive calls) in 7.886 seconds

   Ordered by: cumulative time
   List reduced from 794 to 80 due to restriction <80>

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     2169    0.172    0.000    0.348    0.000 /opt/anaconda3/envs/agentmesh/lib/python3.12/site-packages/pandas/core/internals/managers.py:958(fast_xs)
      880    0.019    0.000    0.339    0.000 /opt/anaconda3/envs/agentmesh/lib/python3.12/site-packages/pandas/core/frame.py:4469(_set_item_mgr)
     1600    0.016    0.000    0.339    0.000 /opt/anaconda3/envs/agentmesh/lib/python3.12/site-packages/pandas/core/series.py:6114(_logical_method)
       79    0.010    0.000    0.337    0.004 /Users/karekin/Downloads/coding/project/vnpy/vnpy/web/core/cb_backtest/portfolio_backtest.py:140(compute_daily_return)
      960    0.001    0.000    0.323    0.000 /opt/anaconda3/envs/agentmesh/lib/python3.12/site-packages/pandas/core/arraylike.py:200(__mul__)
      800    0.012    0.000    0.316    0.000 /opt/anaconda3/envs/agentmesh/lib/python3.12/site-packages/pandas/core/arraylike.py:98(__add__)
      400    0.005    0.000    0.312    0.001 /opt/anaconda3/envs/agentmesh/lib/python3.12/site-packages/pandas/core/indexing.py:882(__setitem__)
     1040    0.003    0.000    0.308    0.000 /opt/anaconda3/envs/agentmesh/lib/python3.12/site-packages/pandas/core/internals/base.py:196(where)
      880    0.041    0.000    0.296    0.000 /opt/anaconda3/envs/agentmesh/lib/python3.12/site-packages/pandas/core/internals/managers.py:1347(insert)
     6240    0.014    0.000    0.293    0.000 /opt/anaconda3/envs/agentmesh/lib/python3.12/site-packages/pandas/core/internals/blocks.py:1287(take_nd)
     5040    0.025    0.000    0.288    0.000 /opt/anaconda3/envs/agentmesh/lib/python3.12/site-packages/pandas/core/frame.py:4050(__getitem__)
    10400    0.054    0.000    0.260    0.000 /opt/anaconda3/envs/agentmesh/lib/python3.12/site-packages/pandas/core/internals/managers.py:1861(from_array)
     1040    0.010    0.000    0.257    0.000 /opt/anaconda3/envs/agentmesh/lib/python3.12/site-packages/pandas/core/indexes/base.py:475(__new__)
