symbol,report_period,fiscal_quarter,fiscal_year,period_type,filed_date,revenue,gross_margin,op_margin,fcf_margin,cash,debt,shares_outstanding,revenue_yoy,source_filing_id,form_type,currency,data_quality_flag,restatement_flag,source_vendor
NVDA,2026-01-25,FY,2026,annual,2026-02-25,215938000000.0,0.7106808435754708,0.6038168363141272,0.4739601181820708,10605000000.0,8468000000.0,24300000000.0,0.654735357900948,0001045810-26-000021,10-K,USD,parsed,,sec-companyfacts
SNOW,2026-01-31,FY,2026,annual,2026-03-20,4683946000.0,0.6716860100436683,-0.3064008423666712,0.2391816643488204,2828163000.0,,345700000.0,0.2916256250006894,0001640147-26-000008,10-K,USD,parsed,,sec-companyfacts
CRWD,2026-01-31,FY,2026,annual,2026-03-05,4812005000.0,0.7466899972049074,-0.06095006135696035,0.2722858766771855,5230125000.0,745471000.0,252098440.0,0.21711245176577237,0001535527-26-000010,10-K,USD,parsed,,sec-companyfacts
ARM,2025-12-31,Q3,2026,quarterly,2026-02-04,1242000000.0,0.9758454106280193,0.14895330112721417,0.6384863123993558,2807000000.0,,1056513738.0,0.2634791454730417,0001973239-26-000006,6-K,USD,parsed,,sec-companyfacts
